du_a,du_b,distance_m,theoretical_delta_ns
100003,1000032,10.948687820921737,36.53035037681754
1010,100003,3032.520760725638,10118.02032592383
1010,1000032,3032.2915172115295,10117.255453819613
1010,1011,5006.018103725455,16702.603847406728
1010,1012,4514.868275714475,15063.880047969336
1010,1013,4168.379578793059,13907.818818790854
1010,1014,3790.12418482416,12645.76784979704
1010,1016,3218.1219771820333,10737.27969091912
1010,1017,3600.5042025835774,12013.099853139222
1010,1018,2643.037531697195,8818.507630428463
1010,1019,2892.0917318551637,9649.478185384218
1010,1020,4046.0494225440452,13499.663655129323
1010,1022,4046.4340610320096,13500.947003322603
1010,1023,2651.476776479477,8846.665211853278
1010,1024,5036.947704807148,16805.80061244467
1010,1029,3058.1739109661503,10203.612186965327
1010,1030,1157.5601905844899,3862.205228237767
1010,1032,3000.2596697779345,10010.381038446292
1010,1033,2083.511481001965,6951.64623012479
1010,1034,2650.0399490939753,8841.87123026554
1010,1035,3217.0006094882856,10733.538242133307
1010,1037,2007.2054439279502,6697.05076482587
1010,1038,3468.443051902539,11572.477179038913
1010,1039,1733.4522601159222,5783.671930303504
1010,1040,999.4397077553002,3334.635465177743
1010,1041,3518.0447431364487,11737.973464045319
1010,1042,2306.8231366194937,7696.726659520828
1010,1043,2085.9075024120793,6959.640567259381
1010,1044,3000.6711774126466,10011.754035678896
1010,1045,4725.264090015075,15765.866709743545
1010,1046,3612.4284524116188,12052.885170916454
1010,1047,4512.543671798867,15056.123995653896
1010,1048,1157.2837187919824,3861.2827787520573
1010,1049,1732.951278530646,5782.000402797943
1010,1051,2089.6289620868106,6972.057235635964
1010,1052,1533.0938584620317,5115.175144837611
1010,1054,2314.169537885459,7721.2379632171105
1010,1055,997.3374549529361,3327.6212884373795
1010,1056,999.5713115576098,3335.0745619067684
1010,1057,1999.0863252441104,6669.961285691678
1010,1058,3217.8758127474402,10736.458362081083
1010,1059,3466.547989604933,11566.154294429383
1010,1065,2890.4312899830365,9643.938112969949
1010,1066,2521.8763457540895,8414.252741900666
1010,1071,3218.6227098697045,10738.950387976607
1010,1072,1533.9920612112046,5118.172002696139
1010,1073,4167.367516146014,13904.442066827098
1010,1074,2649.2838086822635,8839.34836408964
1010,1075,1737.8472203099443,5798.335736451398
1010,1076,4585.623042507856,15299.953672870133
1010,1077,2086.7835584415557,6962.563532479499
1010,1078,3607.2015148107544,12035.445468088094
1010,1081,4004.8545768082517,13362.216851177907
1010,1082,4046.1226937291462,13499.908124796195
1010,1083,3519.309562986751,11742.193541651954
1010,1084,4363.597214234834,14559.163412687722
1010,1085,4586.5259054197,15302.96607938417
1010,1086,2644.9343883896254,8824.836502045086
1010,1088,5031.654788663566,16788.140771886363
1010,1089,2523.500261078053,8419.670943308627
1010,1090,4044.522703700153,13494.569750251729
1010,1091,4358.842422718559,14543.29902757608
1010,1092,3790.872035883169,12648.263058507171
1010,1093,2648.464370759214,8836.614305458079
1010,1094,4727.81477371153,15774.37707835172
1010,2001,3000.2596697779345,10010.381038446292
1011,100003,2113.428395886409,7051.4641627206765
1011,1000032,2118.533664046432,7068.497914865557
1011,1012,577.6462653129508,1927.3195848564906
1011,1013,1528.197785612844,5098.83937386883
1011,1014,2084.4104325899925,6954.645586487814
1011,1016,3215.9871639552603,10730.156876163725
1011,1017,3608.433180578102,12039.55492693506
1011,1018,5185.997960382457,17303.10751798231
1011,1019,2889.592564922259,9641.139702709179
1011,1020,1155.3662885795138,3854.8852634853674
